codice_scuola|anno_corso|scuola|regione|nazionale
"CZRC01101G"|2|45.2|30.9|33
"CZRC01101G"|3|||
"CZRC01101G"|4|34.1|29.7|30.7
"CZRC014013"|1|26.4|28.5|28.8
"CZRC014013"|2|24.5|30.9|33
"CZRC014013"|3|||
"CZRC014013"|4|34.4|29.7|30.7
"CZRC03000X"|1|33.8|28.5|28.8
"CZRC03000X"|2|38.9|30.9|33
"CZRC03000X"|3|||
"CZRC03000X"|4|37.1|29.7|30.7
"CZRH01101R"|1|15.4|28.5|28.8
"CZRH01101R"|2|21.9|30.9|33
"CZRH01101R"|3|||
"CZRH01101R"|4|33.3|29.7|30.7
"CZRH04000Q"|1|21.4|28.5|28.8
"CZRH04000Q"|2|19.4|30.9|33
"CZRH04000Q"|3|||
"CZRH04000Q"|4|27.4|29.7|30.7
"CZRI00201D"|1|22.6|28.5|28.8
"CZRI00201D"|2|18.2|30.9|33
"CZRI00201D"|3|||
"CZRI00201D"|4|0|29.7|30.7
"CZRI00801C"|1|50|28.5|28.8
"CZRI00801C"|2|29.2|30.9|33
"CZRI00801C"|3|||
"CZRI00801C"|4|77.8|29.7|30.7
"CZRI01301X"|1|35.2|28.5|28.8
"CZRI01301X"|2|11.1|30.9|33
"CZRI01301X"|3|||
"CZRI01301X"|4|30.6|29.7|30.7
"CZRI01401Q"|1|28.6|28.5|28.8
"CZRI01401Q"|2|27.3|30.9|33
"CZRI01401Q"|3|||
"CZRI01401Q"|4|22.7|29.7|30.7
"CZSD00201P"|1|27.3|31.6|30.6
"CZSD00201P"|2|44.4|32.1|30.9
"CZSD00201P"|3|||
"CZSD00201P"|4|58.3|25.8|27.2
"CZSL00901X"|1|46.4|31.6|30.6
"CZSL00901X"|2|37.8|32.1|30.9
"CZSL00901X"|3|16.1|29.2|29.5
"CZSL00901X"|4|0|25.8|27.2
"CZTA01000G"|1|20.3|30.9|29.7
"CZTA01000G"|2|21.1|33.2|31.8
"CZTA01000G"|3|39.3|35.9|33.7
"CZTA01000G"|4|40.8|35.7|33.8
"CZTD002014"|1|10.5|30.9|29.7
"CZTD002014"|2|38.5|33.2|31.8
"CZTD002014"|3|29|35.9|33.7
"CZTD002014"|4|21.4|35.7|33.8
"CZTD04000T"|1|28.9|30.9|29.7
"CZTD04000T"|2|33.5|33.2|31.8
"CZTD04000T"|3|30|35.9|33.7
"CZTD04000T"|4|25.5|35.7|33.8
"CZTD05000C"|1|25|30.9|29.7
"CZTD05000C"|2|29|33.2|31.8
"CZTD05000C"|3|22.6|35.9|33.7
"CZTD05000C"|4|27.5|35.7|33.8
"CZTD12000D"|1|33.8|30.9|29.7
"CZTD12000D"|2|20|33.2|31.8
"CZTD12000D"|3|27.3|35.9|33.7
"CZTD12000D"|4|18.5|35.7|33.8
"CZTE01000D"|1|35.3|30.9|29.7
"CZTE01000D"|2|29.8|33.2|31.8
"CZTE01000D"|3|27.7|35.9|33.7
"CZTE01000D"|4|34.9|35.7|33.8
"CZTF003016"|1|63.6|30.9|29.7
"CZTF003016"|2|40|33.2|31.8
"CZTF003016"|3|50|35.9|33.7
"CZTF003016"|4|43.8|35.7|33.8
"CZTF00701D"|1|50|30.9|29.7
"CZTF00701D"|2|43.3|33.2|31.8
"CZTF00701D"|3|26.9|35.9|33.7
"CZTF00701D"|4|27.8|35.7|33.8
"CZTF010008"|1|24|30.9|29.7
"CZTF010008"|2|22.8|33.2|31.8
"CZTF010008"|3|43.4|35.9|33.7
"CZTF010008"|4|43.2|35.7|33.8
"CZTF01301R"|1|31.6|30.9|29.7
"CZTF01301R"|2|23.3|33.2|31.8
"CZTF01301R"|3|34.1|35.9|33.7
"CZTF01301R"|4|17.9|35.7|33.8
"CZTL00801D"|1|32.7|30.9|29.7
"CZTL00801D"|2|18.2|33.2|31.8
"CZTL00801D"|3|41.4|35.9|33.7
"CZTL00801D"|4|50|35.7|33.8
"CZTL01000C"|1|30.2|30.9|29.7
"CZTL01000C"|2|31.3|33.2|31.8
"CZTL01000C"|3|39.1|35.9|33.7
"CZTL01000C"|4|43.5|35.7|33.8
"CZTL040008"|1|38.8|30.9|29.7
"CZTL040008"|2|42.3|33.2|31.8
"CZTL040008"|3|37|35.9|33.7
"CZTL040008"|4|34.8|35.7|33.8
"ENPC00101X"|1|21.3|21.9|23.8
"ENPC00101X"|2|33.3|21.4|24.4
"ENPC00101X"|3|12.8|22.1|24.2
"ENPC00101X"|4|10.8|18.8|21.4
"ENPC00901E"|1|||
"ENPC00901E"|2|||
"ENPC00901E"|3|||
"ENPC00901E"|4|||
"ENPC01000N"|1|18.7|21.9|23.8
"ENPC01000N"|2|23.3|21.4|24.4
"ENPC01000N"|3|27.4|22.1|24.2
"ENPC01000N"|4|20.9|18.8|21.4
"ENPC01101E"|1|10.9|21.9|23.8
"ENPC01101E"|2|1.8|21.4|24.4
"ENPC01101E"|3|5.6|22.1|24.2
"ENPC01101E"|4|7.4|18.8|21.4
"ENPC06000P"|1|10.7|21.9|23.8
"ENPC06000P"|2|26.5|21.4|24.4
"ENPC06000P"|3|30.9|22.1|24.2
"ENPC06000P"|4|12.2|18.8|21.4
"ENPM00201X"|1|25|21.9|23.8
"ENPM00201X"|2|16.7|21.4|24.4
"ENPM00201X"|3|30.8|22.1|24.2
"ENPM00201X"|4|0|18.8|21.4
"ENPM00801V"|1|32.5|21.9|23.8
"ENPM00801V"|2|18.2|21.4|24.4
"ENPM00801V"|3|33.3|22.1|24.2
"ENPM00801V"|4|21.7|18.8|21.4
"ENPM01101P"|1|21|21.9|23.8
"ENPM01101P"|2|28.7|21.4|24.4
"ENPM01101P"|3|29.2|22.1|24.2
"ENPM01101P"|4|18.7|18.8|21.4
"ENPM02000C"|1|23.1|21.9|23.8
"ENPM02000C"|2|34.4|21.4|24.4
"ENPM02000C"|3|22.7|22.1|24.2
"ENPM02000C"|4|21.2|18.8|21.4
"ENPS001013"|1|14.6|21.9|23.8
"ENPS001013"|2|4.3|21.4|24.4
"ENPS001013"|3|9.3|22.1|24.2
"ENPS001013"|4|15.6|18.8|21.4
"ENPS00201V"|1|6.9|21.9|23.8
"ENPS00201V"|2|16.7|21.4|24.4
"ENPS00201V"|3|9.8|22.1|24.2
"ENPS00201V"|4|4.1|18.8|21.4
"ENPS01000R"|1|12.4|21.9|23.8
"ENPS01000R"|2|2|21.4|24.4
"ENPS01000R"|3|4.9|22.1|24.2
"ENPS01000R"|4|9.3|18.8|21.4
"ENPS013019"|1|31.9|21.9|23.8
"ENPS013019"|2|22.2|21.4|24.4
"ENPS013019"|3|17.4|22.1|24.2
"ENPS013019"|4|17.1|18.8|21.4
"ENPS06000T"|1|14.8|21.9|23.8
"ENPS06000T"|2|5.5|21.4|24.4
"ENPS06000T"|3|19.4|22.1|24.2
"ENPS06000T"|4|28.8|18.8|21.4
"ENPS11000N"|1|14.7|21.9|23.8
"ENPS11000N"|2|27.4|21.4|24.4
"ENPS11000N"|3|12|22.1|24.2
"ENPS11000N"|4|18.5|18.8|21.4
"ENRA003018"|1|46.2|25|28.8
"ENRA003018"|2|0|27.9|33
"ENRA003018"|3|||
"ENRA003018"|4|21.4|27.9|30.7
"ENRA003029"|1|25|25|28.8
"ENRA003029"|2|57.1|27.9|33
"ENRA003029"|3|||
"ENRA003029"|4|35.3|27.9|30.7
"ENRC003017"|1|37|25|28.8
"ENRC003017"|2|13.3|27.9|33
"ENRC003017"|3|||
"ENRC003017"|4|35.3|27.9|30.7
"ENRC003028"|1|||
"ENRC003028"|2|22.2|27.9|33
"ENRC003028"|3|||
"ENRC003028"|4|54.5|27.9|30.7
"ENRF003011"|1|||
"ENRF003011"|2|||
"ENRF003011"|3|||
"ENRF003011"|4|22.2|27.9|30.7
"ENRF00601C"|1|14.8|25|28.8
"ENRF00601C"|2|35.9|27.9|33
"ENRF00601C"|3|||
"ENRF00601C"|4|30|27.9|30.7
"ENRF008014"|1|15.4|25|28.8
"ENRF008014"|2|11.1|27.9|33
"ENRF008014"|3|||
"ENRF008014"|4|6.7|27.9|30.7
"ENRF016013"|1|27.1|25|28.8
"ENRF016013"|2|28.8|27.9|33
"ENRF016013"|3|||
"ENRF016013"|4|40.7|27.9|30.7
"ENRH00301C"|1|32.6|25|28.8
"ENRH00301C"|2|42.9|27.9|33
"ENRH00301C"|3|||
"ENRH00301C"|4|||
"ENRH004018"|1|15.9|25|28.8
"ENRH004018"|2|15.5|27.9|33
"ENRH004018"|3|||
"ENRH004018"|4|20.8|27.9|30.7
"ENRI00401Q"|1|26.3|25|28.8
"ENRI00401Q"|2|30.2|27.9|33
"ENRI00401Q"|3|||
"ENRI00401Q"|4|63.6|27.9|30.7
"ENRI016012"|1|27.1|25|28.8
"ENRI016012"|2|42.1|27.9|33
"ENRI016012"|3|||
"ENRI016012"|4|45.6|27.9|30.7
"ENTD006012"|1|16.5|28.5|29.7
"ENTD006012"|2|23.5|32.1|31.8
"ENTD006012"|3|25.9|34|33.7
"ENTD006012"|4|35.3|34.6|33.8
"ENTD00901D"|1|40.4|28.5|29.7
"ENTD00901D"|2|29.1|32.1|31.8
"ENTD00901D"|3|27.5|34|33.7
"ENTD00901D"|4|33.3|34.6|33.8
"ENTD013015"|1|33.9|28.5|29.7
"ENTD013015"|2|40.8|32.1|31.8
"ENTD013015"|3|33.3|34|33.7
"ENTD013015"|4|37.5|34.6|33.8
"ENTD014011"|1|44.4|28.5|29.7
"ENTD014011"|2|47.5|32.1|31.8
"ENTD014011"|3|45.8|34|33.7
"ENTD014011"|4|38.5|34.6|33.8
"ENTD03000T"|1|20.4|28.5|29.7
"ENTD03000T"|2|39.5|32.1|31.8
"ENTD03000T"|3|43.2|34|33.7
"ENTD03000T"|4|34.5|34.6|33.8
"ENTE007019"|1|48|28.5|29.7
"ENTE007019"|2|33.3|32.1|31.8
"ENTE007019"|3|40.7|34|33.7
"ENTE007019"|4|26.9|34.6|33.8
"ENTF007014"|1|42.4|28.5|29.7
"ENTF007014"|2|35.6|32.1|31.8
"ENTF007014"|3|30.8|34|33.7
"ENTF007014"|4|43.8|34.6|33.8
"ENTL01401B"|1|33.3|28.5|29.7
"ENTL01401B"|2|27.9|32.1|31.8
"ENTL01401B"|3|47.2|34|33.7
"ENTL01401B"|4|38.2|34.6|33.8
"FEPC00801G"|1|15.8|23.8|23.8
"FEPC00801G"|2|23.8|23.5|24.4
"FEPC00801G"|3|23.5|23.2|24.2
"FEPC00801G"|4|0|21.2|21.4
"FEPC01000E"|1|24.2|23.8|23.8
"FEPC01000E"|2|26.3|23.5|24.4
"FEPC01000E"|3|18.9|23.2|24.2
"FEPC01000E"|4|16.5|21.2|21.4
"FEPC020005"|1|15.4|23.8|23.8
"FEPC020005"|2|22.6|23.5|24.4
"FEPC020005"|3|14.3|23.2|24.2
"FEPC020005"|4|13.2|21.2|21.4
"FEPM00701X"|1|32.2|23.8|23.8
"FEPM00701X"|2|29.2|23.5|24.4
"FEPM00701X"|3|31.2|23.2|24.2
"FEPM00701X"|4|35.2|21.2|21.4
"FEPS00101X"|1|29|23.8|23.8
"FEPS00101X"|2|17.6|23.5|24.4
"FEPS00101X"|3|27.3|23.2|24.2
"FEPS00101X"|4|18.4|21.2|21.4
"FEPS00401B"|1|20|23.8|23.8
"FEPS00401B"|2|21.4|23.5|24.4
"FEPS00401B"|3|22.1|23.2|24.2
"FEPS00401B"|4|8.9|21.2|21.4
"FEPS00701V"|1|27.8|23.8|23.8
"FEPS00701V"|2|18.8|23.5|24.4
"FEPS00701V"|3|17.6|23.2|24.2
"FEPS00701V"|4|34.4|21.2|21.4
"FEPS01000N"|1|15.8|23.8|23.8
"FEPS01000N"|2|14.7|23.5|24.4
"FEPS01000N"|3|14.4|23.2|24.2
"FEPS01000N"|4|14.2|21.2|21.4
"FERC00701B"|1|40|30.5|28.8
"FERC00701B"|2|45|33.6|33
"FERC00701B"|3|||
"FERC00701B"|4|0|31.6|30.7
"FERC008017"|1|||
"FERC008017"|2|||
"FERC008017"|3|||
"FERC008017"|4|25|31.6|30.7
"FERC010006"|1|25.9|30.5|28.8
"FERC010006"|2|39.5|33.6|33
"FERC010006"|3|||
"FERC010006"|4|32|31.6|30.7
"FERH00801C"|1|32.1|30.5|28.8
"FERH00801C"|2|27.8|33.6|33
"FERH00801C"|3|||
"FERH00801C"|4|42.9|31.6|30.7
"FERH01000B"|1|31.4|30.5|28.8
"FERH01000B"|2|35.5|33.6|33
"FERH01000B"|3|||
"FERH01000B"|4|21.3|31.6|30.7
"FERI001015"|1|16.7|30.5|28.8
"FERI001015"|2|26.3|33.6|33
"FERI001015"|3|||
"FERI001015"|4|15.6|31.6|30.7
"FERI001026"|1|21.6|30.5|28.8
"FERI001026"|2|30|33.6|33
"FERI001026"|3|||
"FERI001026"|4|33.3|31.6|30.7
"FERI002011"|1|16.1|30.5|28.8
"FERI002011"|2|44|33.6|33
"FERI002011"|3|||
"FERI002011"|4|33.3|31.6|30.7
"FERI00801X"|1|25.8|30.5|28.8
"FERI00801X"|2|21.3|33.6|33
"FERI00801X"|3|||
"FERI00801X"|4|25|31.6|30.7
"FERI01000V"|1|30.1|30.5|28.8
"FERI01000V"|2|24.5|33.6|33
"FERI01000V"|3|||
"FERI01000V"|4|27.4|31.6|30.7
"FESD009011"|1|31.3|34.3|30.6
"FESD009011"|2|17.9|31.3|30.9
"FESD009011"|3|17.1|30.7|29.5
"FESD009011"|4|10.3|26.9|27.2
"FETA002015"|1|25.7|28.1|29.7
"FETA002015"|2|40.5|29.9|31.8
"FETA002015"|3|24.1|31.4|33.7
"FETA002015"|4|15.6|31|33.8
"FETA002026"|1|6.4|28.1|29.7
"FETA002026"|2|12.2|29.9|31.8
"FETA002026"|3|||
"FETA002026"|4|||
"FETD00101Q"|1|25.8|28.1|29.7
"FETD00101Q"|2|31|29.9|31.8
"FETD00101Q"|3|19|31.4|33.7
"FETD00101Q"|4|17.6|31|33.8
"FETD004017"|1|23.9|28.1|29.7
"FETD004017"|2|14.1|29.9|31.8
"FETD004017"|3|45.3|31.4|33.7
"FETD004017"|4|24.6|31|33.8
"FETD00601V"|1|29|28.1|29.7
"FETD00601V"|2|27.6|29.9|31.8
"FETD00601V"|3|35|31.4|33.7
"FETD00601V"|4|36|31|33.8
"FETD08000Q"|1|21.8|28.1|29.7
"FETD08000Q"|2|13.1|29.9|31.8
"FETD08000Q"|3|18.5|31.4|33.7
"FETD08000Q"|4|17.1|31|33.8
"FETF006015"|1|13.9|28.1|29.7
"FETF006015"|2|22.1|29.9|31.8
"FETF006015"|3|18.2|31.4|33.7
"FETF006015"|4|30.9|31|33.8
"FETF09000L"|1|25.3|28.1|29.7
"FETF09000L"|2|23.8|29.9|31.8
"FETF09000L"|3|31.2|31.4|33.7
"FETF09000L"|4|27.8|31|33.8
"FETL00901R"|1|25.6|28.1|29.7
"FETL00901R"|2|30|29.9|31.8
"FETL00901R"|3|30.2|31.4|33.7
"FETL00901R"|4|35.6|31|33.8
"FGPC00101B"|1|18.2|16.8|23.8
"FGPC00101B"|2|26.3|16|24.4
"FGPC00101B"|3|11.1|17.3|24.2
"FGPC00101B"|4|12.9|14.4|21.4
"FGPC002017"|1|1|16.8|23.8
"FGPC002017"|2|6.4|16|24.4
"FGPC002017"|3|7.5|17.3|24.2
"FGPC002017"|4|2.3|14.4|21.4
"FGPC002028"|1|0|16.8|23.8
"FGPC002028"|2|0|16|24.4
"FGPC002028"|3|9.1|17.3|24.2
"FGPC002028"|4|4.5|14.4|21.4
"FGPC003013"|1|25.5|16.8|23.8
"FGPC003013"|2|22|16|24.4
"FGPC003013"|3|19.3|17.3|24.2
"FGPC003013"|4|20|14.4|21.4
"FGPC01801R"|1|8.8|16.8|23.8
"FGPC01801R"|2|12.8|16|24.4
"FGPC01801R"|3|9.4|17.3|24.2
"FGPC01801R"|4|6.5|14.4|21.4
"FGPC01901L"|1|21.8|16.8|23.8
"FGPC01901L"|2|26.1|16|24.4
"FGPC01901L"|3|5.7|17.3|24.2
"FGPC01901L"|4|11.4|14.4|21.4
"FGPC02101L"|1|13.6|16.8|23.8
"FGPC02101L"|2|22.7|16|24.4
"FGPC02101L"|3|20.3|17.3|24.2
"FGPC02101L"|4|20.3|14.4|21.4
"FGPC02601Q"|1|8.3|16.8|23.8
"FGPC02601Q"|2|19.1|16|24.4
"FGPC02601Q"|3|19.1|17.3|24.2
"FGPC02601Q"|4|10.9|14.4|21.4
"FGPC060006"|1|5.8|16.8|23.8
"FGPC060006"|2|8.9|16|24.4
"FGPC060006"|3|12.3|17.3|24.2
"FGPC060006"|4|13.1|14.4|21.4
"FGPC07000R"|1|11.4|16.8|23.8
"FGPC07000R"|2|9.7|16|24.4
"FGPC07000R"|3|11|17.3|24.2
"FGPC07000R"|4|11.9|14.4|21.4
"FGPC07001T"|1|0|16.8|23.8
"FGPC07001T"|2|0|16|24.4
"FGPC07001T"|3|0|17.3|24.2
"FGPC07001T"|4|10|14.4|21.4
"FGPC07002V"|1|||
"FGPC07002V"|2|6.7|16|24.4
"FGPC07002V"|3|11.1|17.3|24.2
"FGPC07002V"|4|15.4|14.4|21.4
"FGPC090002"|1|0|16.8|23.8
"FGPC090002"|2|0|16|24.4
"FGPC090002"|3|0|17.3|24.2
"FGPC090002"|4|0|14.4|21.4
"FGPC090013"|1|0|16.8|23.8
"FGPC090013"|2|0|16|24.4
"FGPC090013"|3|0|17.3|24.2
"FGPC090013"|4|0|14.4|21.4
"FGPC12000L"|1|17|16.8|23.8
"FGPC12000L"|2|25.4|16|24.4
"FGPC12000L"|3|16.8|17.3|24.2
"FGPC12000L"|4|14.2|14.4|21.4
"FGPM00701E"|1|28.6|16.8|23.8
"FGPM00701E"|2|20.5|16|24.4
"FGPM00701E"|3|28.9|17.3|24.2
"FGPM00701E"|4|12.5|14.4|21.4
"FGPM010009"|1|31.4|16.8|23.8
"FGPM010009"|2|32.9|16|24.4
"FGPM010009"|3|22.8|17.3|24.2
"FGPM010009"|4|25.6|14.4|21.4
"FGPM02000X"|1|29.6|16.8|23.8
"FGPM02000X"|2|19|16|24.4
"FGPM02000X"|3|20.5|17.3|24.2
"FGPM02000X"|4|5.7|14.4|21.4
"FGPM02901B"|1|25.2|16.8|23.8
"FGPM02901B"|2|36.2|16|24.4
"FGPM02901B"|3|30.6|17.3|24.2
"FGPM02901B"|4|39.3|14.4|21.4
"FGPM03000E"|1|26.7|16.8|23.8
"FGPM03000E"|2|31.9|16|24.4
"FGPM03000E"|3|28.8|17.3|24.2
"FGPM03000E"|4|17.8|14.4|21.4
"FGPM05000Q"|1|14.1|16.8|23.8
"FGPM05000Q"|2|15.2|16|24.4
"FGPM05000Q"|3|7.5|17.3|24.2
"FGPM05000Q"|4|12.1|14.4|21.4
"FGPS00101E"|1|12.8|16.8|23.8
"FGPS00101E"|2|17|16|24.4
"FGPS00101E"|3|30|17.3|24.2
"FGPS00101E"|4|17.6|14.4|21.4
"FGPS00201A"|1|6.5|16.8|23.8
"FGPS00201A"|2|15|16|24.4
"FGPS00201A"|3|10.3|17.3|24.2
"FGPS00201A"|4|8.7|14.4|21.4
"FGPS004012"|1|19.2|16.8|23.8
"FGPS004012"|2|25.6|16|24.4
"FGPS004012"|3|41.7|17.3|24.2
"FGPS004012"|4|17.2|14.4|21.4
"FGPS004023"|1|25|16.8|23.8
"FGPS004023"|2|26.3|16|24.4
"FGPS004023"|3|19|17.3|24.2
"FGPS004023"|4|6.7|14.4|21.4
"FGPS00701D"|1|26.5|16.8|23.8
"FGPS00701D"|2|23.8|16|24.4
"FGPS00701D"|3|27.8|17.3|24.2
"FGPS00701D"|4|23.5|14.4|21.4
"FGPS010008"|1|22.5|16.8|23.8
"FGPS010008"|2|18.5|16|24.4
"FGPS010008"|3|23.1|17.3|24.2
"FGPS010008"|4|14|14.4|21.4
"FGPS01801X"|1|15.3|16.8|23.8
"FGPS01801X"|2|11.6|16|24.4
"FGPS01801X"|3|22.2|17.3|24.2
"FGPS01801X"|4|16.5|14.4|21.4
"FGPS03000D"|1|24.7|16.8|23.8
"FGPS03000D"|2|29.7|16|24.4
"FGPS03000D"|3|20|17.3|24.2
"FGPS03000D"|4|27.9|14.4|21.4
"FGPS040004"|1|10.4|16.8|23.8
"FGPS040004"|2|14.2|16|24.4
"FGPS040004"|3|12.6|17.3|24.2
"FGPS040004"|4|5.6|14.4|21.4
"FGPS040015"|1|0|16.8|23.8
"FGPS040015"|2|0|16|24.4
"FGPS040015"|3|0|17.3|24.2
"FGPS040015"|4|0|14.4|21.4
"FGPS08000E"|1|16.7|16.8|23.8
"FGPS08000E"|2|14|16|24.4
"FGPS08000E"|3|16.4|17.3|24.2
"FGPS08000E"|4|15.1|14.4|21.4
"FGPS160006"|1|21.2|16.8|23.8
"FGPS160006"|2|23.4|16|24.4
"FGPS160006"|3|23.3|17.3|24.2
"FGPS160006"|4|28.5|14.4|21.4
"FGRA00801V"|1|6.7|26.3|28.8
"FGRA00801V"|2|0|27.9|33
"FGRA00801V"|3|||
"FGRA00801V"|4|0|26.9|30.7
"FGRC00801T"|1|26.3|26.3|28.8
"FGRC00801T"|2|36|27.9|33
"FGRC00801T"|3|||
"FGRC00801T"|4|40.9|26.9|30.7
"FGRC00901N"|1|||
"FGRC00901N"|2|||
"FGRC00901N"|3|||
"FGRC00901N"|4|||
"FGRC022014"|1|25.7|26.3|28.8
"FGRC022014"|2|42.9|27.9|33
"FGRC022014"|3|||
"FGRC022014"|4|18.5|26.9|30.7
"FGRC023021"|1|||
"FGRC023021"|2|||
"FGRC023021"|3|||
"FGRC023021"|4|||
"FGRC02601B"|1|9.3|26.3|28.8
"FGRC02601B"|2|5.4|27.9|33
"FGRC02601B"|3|||
"FGRC02601B"|4|0|26.9|30.7
"FGRC030002"|1|37|26.3|28.8
"FGRC030002"|2|25|27.9|33
"FGRC030002"|3|||
"FGRC030002"|4|23.8|26.9|30.7
"FGRC030013"|1|||
"FGRC030013"|2|41.2|27.9|33
"FGRC030013"|3|||
"FGRC030013"|4|0|26.9|30.7
"FGRH010002"|1|24.4|26.3|28.8
"FGRH010002"|2|20.6|27.9|33
"FGRH010002"|3|||
"FGRH010002"|4|20.2|26.9|30.7
"FGRH04000T"|1|41.1|26.3|28.8
"FGRH04000T"|2|33.7|27.9|33
"FGRH04000T"|3|||
"FGRH04000T"|4|45.5|26.9|30.7
"FGRH060003"|1|34.3|26.3|28.8
"FGRH060003"|2|27.2|27.9|33
"FGRH060003"|3|||
"FGRH060003"|4|22.5|26.9|30.7
"FGRH07000N"|1|34.9|26.3|28.8
"FGRH07000N"|2|42.9|27.9|33
"FGRH07000N"|3|||
"FGRH07000N"|4|23|26.9|30.7
"FGRI00901A"|1|21.1|26.3|28.8
"FGRI00901A"|2|34.5|27.9|33
"FGRI00901A"|3|||
"FGRI00901A"|4|40.9|26.9|30.7
"FGRI01101A"|1|21.6|26.3|28.8
"FGRI01101A"|2|22.3|27.9|33
"FGRI01101A"|3|||
"FGRI01101A"|4|26.7|26.9|30.7
"FGRI013012"|1|27.3|26.3|28.8
"FGRI013012"|2|44.2|27.9|33
"FGRI013012"|3|||
"FGRI013012"|4|70.6|26.9|30.7
"FGRI01402V"|1|||
"FGRI01402V"|2|25|27.9|33
"FGRI01402V"|3|||
"FGRI01402V"|4|22.7|26.9|30.7
"FGRI020004"|1|36.1|26.3|28.8
"FGRI020004"|2|37.7|27.9|33
"FGRI020004"|3|||
"FGRI020004"|4|33.3|26.9|30.7
"FGRI020015"|1|16.7|26.3|28.8
"FGRI020015"|2|60|27.9|33
"FGRI020015"|3|||
"FGRI020015"|4|20|26.9|30.7
"FGRI020059"|1|29.4|26.3|28.8
"FGRI020059"|2|21.4|27.9|33
"FGRI020059"|3|||
"FGRI020059"|4|0|26.9|30.7
"FGRI021011"|1|26.6|26.3|28.8
"FGRI021011"|2|35.1|27.9|33
"FGRI021011"|3|||
"FGRI021011"|4|32.7|26.9|30.7
"FGRI02301L"|1|27|26.3|28.8
"FGRI02301L"|2|16.7|27.9|33
"FGRI02301L"|3|||
"FGRI02301L"|4|0|26.9|30.7
"FGRI026014"|1|7.1|26.3|28.8
"FGRI026014"|2|19.2|27.9|33
"FGRI026014"|3|||
"FGRI026014"|4|43.8|26.9|30.7
"FGRI03701E"|1|32.3|26.3|28.8
"FGRI03701E"|2|33.3|27.9|33
"FGRI03701E"|3|||
"FGRI03701E"|4|14.6|26.9|30.7
"FGSD00201R"|1|13.1|24.5|30.6
"FGSD00201R"|2|37|24.1|30.9
"FGSD00201R"|3|0|19.2|29.5
"FGSD00201R"|4|6.3|22.8|27.2
"FGSD01000P"|1|31.2|24.5|30.6
"FGSD01000P"|2|21.4|24.1|30.9
"FGSD01000P"|3|||
"FGSD01000P"|4|42.2|22.8|27.2
"FGSD014013"|1|14.3|24.5|30.6
"FGSD014013"|2|41.7|24.1|30.9
"FGSD014013"|3|||
"FGSD014013"|4|66.7|22.8|27.2
"FGSL029017"|1|35.1|24.5|30.6
"FGSL029017"|2|36.4|24.1|30.9
"FGSL029017"|3|19.4|19.2|29.5
"FGSL029017"|4|25|22.8|27.2
"FGTA01101E"|1|42.4|28|29.7
"FGTA01101E"|2|48|28.6|31.8
"FGTA01101E"|3|47.8|32.6|33.7
"FGTA01101E"|4|38.1|31.8|33.8
"FGTA03701P"|1|39.1|28|29.7
"FGTA03701P"|2|57.9|28.6|31.8
"FGTA03701P"|3|56.3|32.6|33.7
"FGTA03701P"|4|63.6|31.8|33.8
"FGTD00101A"|1|29.2|28|29.7
"FGTD00101A"|2|17.9|28.6|31.8
"FGTD00101A"|3|25.7|32.6|33.7
"FGTD00101A"|4|22.5|31.8|33.8
"FGTD003012"|1|20.8|28|29.7
"FGTD003012"|2|16.7|28.6|31.8
"FGTD003012"|3|57.1|32.6|33.7
"FGTD003012"|4|42.1|31.8|33.8
"FGTD00401T"|1|42.3|28|29.7
"FGTD00401T"|2|40.7|28.6|31.8
"FGTD00401T"|3|29.4|32.6|33.7
"FGTD00401T"|4|50|31.8|33.8
"FGTD010004"|1|26.5|28|29.7
"FGTD010004"|2|27.6|28.6|31.8
"FGTD010004"|3|35.9|32.6|33.7
"FGTD010004"|4|25.4|31.8|33.8
"FGTD01301L"|1|28.8|28|29.7
"FGTD01301L"|2|40.7|28.6|31.8
"FGTD01301L"|3|35.5|32.6|33.7
"FGTD01301L"|4|37.5|31.8|33.8
"FGTD01402D"|1|44.4|28|29.7
"FGTD01402D"|2|27.8|28.6|31.8
"FGTD01402D"|3|73.3|32.6|33.7
"FGTD01402D"|4|63.6|31.8|33.8
"FGTD02000P"|1|32.7|28|29.7
"FGTD02000P"|2|22.7|28.6|31.8
"FGTD02000P"|3|40.2|32.6|33.7
"FGTD02000P"|4|20|31.8|33.8
"FGTD02101G"|1|32.1|28|29.7
"FGTD02101G"|2|43.2|28.6|31.8
"FGTD02101G"|3|35.9|32.6|33.7
"FGTD02101G"|4|54.3|31.8|33.8
"FGTD02202C"|1|16.4|28|29.7
"FGTD02202C"|2|33.9|28.6|31.8
"FGTD02202C"|3|24.3|32.6|33.7
"FGTD02202C"|4|39.3|31.8|33.8
"FGTD02203D"|1|27.8|28|29.7
"FGTD02203D"|2|26.1|28.6|31.8
"FGTD02203D"|3|28.6|32.6|33.7
"FGTD02203D"|4|25|31.8|33.8
"FGTD023017"|1|17.3|28|29.7
"FGTD023017"|2|29|28.6|31.8
"FGTD023017"|3|38.2|32.6|33.7
"FGTD023017"|4|36.9|31.8|33.8
"FGTD036019"|1|8.7|28|29.7
"FGTD036019"|2|14.5|28.6|31.8
"FGTD036019"|3|25.9|32.6|33.7
"FGTD036019"|4|37.3|31.8|33.8
"FGTD04000X"|1|33.3|28|29.7
"FGTD04000X"|2|34.3|28.6|31.8
